TITLE     = "Versuch_09 | Versuch_09"
VARIABLES = "Time [s]"
"Kapazitiv 2 [mm]"
"Strom [A]"
"Kalibrator [Pa]"
"Cavity Pressure [Pa]"
ZONE T="Sensoren_03"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE SINGLE DOUBLE )
 PASSIVEVARLIST=[4]
 4.022500000E-001 3.269326108E+000 -5.705703214E+001 1.596459744E+004
 4.022600000E-001 3.270131336E+000 -5.705703214E+001 1.597629364E+004
 4.022700000E-001 3.271580745E+000 -5.705381119E+001 1.598099212E+004
 4.022800000E-001 3.271741791E+000 -5.706025309E+001 1.598144197E+004
 4.022900000E-001 3.269004017E+000 -5.705059024E+001 1.596969579E+004
 4.023000000E-001 3.270936563E+000 -5.705703214E+001 1.597079543E+004
 4.023100000E-001 3.270453427E+000 -5.705703214E+001 1.597954259E+004
 4.023200000E-001 3.270292381E+000 -5.706025309E+001 1.597929267E+004
 4.023300000E-001 3.271580745E+000 -5.705059024E+001 1.598374122E+004
 4.023400000E-001 3.269487153E+000 -5.705703214E+001 1.597989247E+004
 4.023500000E-001 3.269165062E+000 -5.704736929E+001 1.597799309E+004
 4.023600000E-001 3.269004017E+000 -5.705703214E+001 1.598704015E+004
 4.023700000E-001 3.272224928E+000 -5.705381119E+001 1.597964256E+004
 4.023800000E-001 3.269487153E+000 -5.705703214E+001 1.597504405E+004
 4.023900000E-001 3.271097609E+000 -5.706025309E+001 1.598059225E+004
 4.024000000E-001 3.271419700E+000 -5.706347405E+001 1.598014239E+004
 4.024100000E-001 3.270453427E+000 -5.705381119E+001 1.598334135E+004
 4.024200000E-001 3.269487153E+000 -5.706025309E+001 1.596439751E+004
 4.024300000E-001 3.271902837E+000 -5.706025309E+001 1.597579381E+004
 4.024400000E-001 3.270131336E+000 -5.706347405E+001 1.599018913E+004
 4.024500000E-001 3.271258654E+000 -5.705703214E+001 1.597914272E+004
 4.024600000E-001 3.270453427E+000 -5.705703214E+001 1.597674350E+004
 4.024700000E-001 3.271419700E+000 -5.706347405E+001 1.597674350E+004
 4.024800000E-001 3.269004017E+000 -5.706347405E+001 1.598084217E+004
 4.024900000E-001 3.272063882E+000 -5.706025309E+001 1.597009566E+004
 4.025000000E-001 3.272869110E+000 -5.706347405E+001 1.596339783E+004
 4.025100000E-001 3.269648199E+000 -5.705703214E+001 1.597439426E+004
 4.025200000E-001 3.270775518E+000 -5.706025309E+001 1.599138874E+004
 4.025300000E-001 3.269648199E+000 -5.706347405E+001 1.597809306E+004
 4.025400000E-001 3.268842971E+000 -5.706669500E+001 1.598699017E+004
 4.025500000E-001 3.271258654E+000 -5.705059024E+001 1.599038907E+004
 4.025600000E-001 3.270292381E+000 -5.706025309E+001 1.597424431E+004
 4.025700000E-001 3.270775518E+000 -5.705703214E+001 1.597309468E+004
 4.025800000E-001 3.267554607E+000 -5.705703214E+001 1.598054226E+004
 4.025900000E-001 3.269970290E+000 -5.705381119E+001 1.598264158E+004
 4.026000000E-001 3.271258654E+000 -5.706025309E+001 1.596804632E+004
 4.026100000E-001 3.268520880E+000 -5.705703214E+001 1.596784639E+004
 4.026200000E-001 3.271097609E+000 -5.706025309E+001 1.597454421E+004
 4.026300000E-001 3.271258654E+000 -5.706025309E+001 1.598424106E+004
 4.026400000E-001 3.266105197E+000 -5.706347405E+001 1.597899277E+004
 4.026500000E-001 3.268198789E+000 -5.705381119E+001 1.596279803E+004
 4.026600000E-001 3.268842971E+000 -5.706025309E+001 1.598374122E+004
 4.026700000E-001 3.271580745E+000 -5.706025309E+001 1.598519075E+004
 4.026800000E-001 3.271741791E+000 -5.705703214E+001 1.597069546E+004
 4.026900000E-001 3.272224928E+000 -5.705703214E+001 1.598114207E+004
 4.027000000E-001 3.272385973E+000 -5.705703214E+001 1.596749650E+004
 4.027100000E-001 3.269326108E+000 -5.705381119E+001 1.597504405E+004
 4.027200000E-001 3.273513292E+000 -5.705703214E+001 1.597434428E+004
 4.027300000E-001 3.270292381E+000 -5.705381119E+001 1.596629689E+004
